addict 중독자
soul 영혼
personality 개성
fiction 소설
passage 한_절
concept 개념
scale 규모
explanation 설명
revolution 혁명
patience 참을성
fund 기금
witness 목격자
request 요청
aim 목표
strike 치다
persuade 설득하다
convince 확신시키다
recommend 추천하다
disagree 의견을_달리하다
promote 촉진하다
explore 탐험하다
consume 소비하다
consist ~로_이루어져_있다
spiritual 정신의
military 군의
helpless 무력한
artistic 예술의
tropical 열대의
significant 중대한
furthermore 게다가
